0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:19:07 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33488896
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:19:07 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 25920546
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:06:08 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 31195136
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:06:08 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 28214306
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:23:37 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 6324224
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:23:39 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 47939584
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:23:43 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 11469858
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:42:22 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 38371328
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:42:23 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 3834914
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:56:52 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 29687808
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:56:52 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 12518434
0:0:0:0:0:0:0:1 - - [13/Nov/2022:20:57:12 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 38174720
0:0:0:0:0:0:0:1 - - [13/Nov/2022:21:23:08 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 41976866
0:0:0:0:0:0:0:1 - - [13/Nov/2022:21:53:39 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 45776896
0:0:0:0:0:0:0:1 - - [13/Nov/2022:21:53:39 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 13632546
0:0:0:0:0:0:0:1 - - [13/Nov/2022:21:57:35 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 2654208
0:0:0:0:0:0:0:1 - - [13/Nov/2022:21:57:35 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 10650658
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:00:47 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 17104896
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:00:57 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33652736
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:00:57 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 25756706
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:04:27 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 13042722
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:08:55 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 2588672
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:11:28 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 2392064
